plot,location,code,cover
1,U,LITT,90
1,U,BARE,5
1,U,GuSa,5
1,U,RaCo,2
1,A,LITT,90
1,A,BARE,5
1,A,BoGr,10
1,A,SoEl,2
2,U,LITT,60
2,U,BARE,40
2,U,BoGr,10
2,A,LITT,20
2,A,BARE,80
2,A,BoGr,5
2,A,GuSa,2
3,U,LITT,80
3,U,BARE,10
3,U,BoGr,5
3,U,GuSa,10
3,A,LITT,50
3,A,BARE,40
3,A,BoGr,12
3,A,GuSa,2
4,U,LITT,80
4,U,BARE,30
4,U,GuSa,5
4,U,RaCo,4
4,U,AmPs,3
4,A,LITT,95
4,A,BARE,2
4,A,RaCo,2
5,U,LITT,60
5,U,BARE,5
5,U,BoGr,10
5,U,RaCo,5
5,U,SaTr,2
5,A,LITT,20
5,A,BARE,5
5,A,BoGr,20
5,A,GuSa,50
6,U,LITT,10
6,U,BARE,40
6,U,GuSa,50
6,A,LITT,20
6,A,BARE,50
6,A,BoGr,50
7,U,LITT,5
7,U,BARE,5
7,U,GuSa,2
7,U,SaTr,95
7,U,BoGr,4
7,A,LITT,20
7,A,BARE,10
7,A,BoGr,75
8,U,LITT,20
8,U,BARE,10
8,U,BoGr,50
8,U,SoEl,20
8,A,LITT,90
8,A,BARE,10
8,A,BoGr,1
8,A,LaCo,5
9,U,LITT,5
9,U,BARE,95
9,A,LITT,70
9,A,BARE,5
9,A,BoGr,5
9,A,SaRe,2
9,A,ChLa,5
9,A,PoPi,1
10,U,LITT,75
10,U,BARE,10
10,U,BoGr,10
10,U,ChLa,2
10,A,LITT,90
10,A,BoGr,5
10,A,ChLa,5
10,A,CuFo,5
11,U,LITT,50
11,U,BARE,50
11,U,BoGr,3
11,U,SoEl,1
11,U,PoPi,1
11,U,ChLa,1
11,A,LITT,50
11,A,BARE,5
11,A,BoGr,10
11,A,ChLa,30
11,A,RaCo,10
11,A,GuSa,10
12,U,LITT,20
12,U,BARE,2
12,U,BoGr,80
12,A,LITT,20
12,A,BARE,20
12,A,BoGr,50
13,U,LITT,20
13,U,BARE,85
13,U,BoGr,2
13,A,LITT,60
13,A,BARE,5
13,A,BoGr,40
14,U,LITT,60
14,U,BARE,20
14,U,GuSa,5
14,U,ZiGr,2
14,U,BoGr,5
14,A,LITT,95
14,A,BARE,5
14,A,BoGr,2
14,A,ChLa,2
15,U,LITT,10
15,U,BARE,40
15,U,BoGr,62
15,U,ChLa,50
15,A,LITT,30
15,A,BARE,10
15,A,BoGr,90
15,A,ChLa,2
16,U,LITT,90
16,U,BARE,10
16,U,BoGr,10
16,U,ZiGr,2
16,A,LITT,70
16,A,BARE,10
16,A,BoGr,20
17,U,LITT,75
17,U,BARE,5
17,U,BoGr,25
17,A,LITT,75
17,A,BARE,5
17,A,BoGr,20
18,U,LITT,70
18,U,BARE,10
18,U,BoGr,20
18,U,ZiGr,5
18,A,LITT,50
18,A,BARE,10
18,A,BoGr,40
19,U,LITT,20
19,U,BARE,30
19,U,SoEl,2
19,U,ChLa,60
19,A,LITT,70
19,A,BARE,20
19,A,BoGr,10
19,A,ChLa,4
20,U,LITT,50
20,U,BARE,10
20,U,SoEl,10
20,U,ChLa,20
20,U,LaCo,10
20,U,CyDa,1
20,A,LITT,50
20,A,BARE,50
20,A,SoEl,1
20,A,ChLa,2
20,A,PoPi,1
21,U,LITT,80
21,U,BARE,10
21,U,BoGr,10
21,A,LITT,80
21,A,BARE,20
21,A,BoGr,10
22,U,LITT,80
22,U,BARE,10
22,U,BoGr,10
22,A,LITT,90
22,A,BARE,10
22,A,BoGr,5
22,A,ChLa,1
23,U,LITT,60
23,U,BARE,30
23,U,BoGr,10
23,U,ChLa,2
23,A,LITT,70
23,A,BARE,5
23,A,BoGr,30
23,A,SoEl,5
24,U,LITT,20
24,U,BARE,70
24,U,BoGr,10
24,U,GuSa,2
24,U,SoEl,5
24,A,LITT,50
24,A,BoGr,50
24,A,LaCo,1
24,A,ZiGr,3
25,U,LITT,10
25,U,BARE,70
25,U,BoGr,7
25,U,SoEl,10
25,U,ZiGr,10
25,A,LITT,40
25,A,BARE,5
25,A,BoGr,60
26,U,LITT,30
26,U,BARE,60
26,U,BoGr,40
26,A,LITT,50
26,A,BARE,20
26,A,BoGr,30
26,A,SoEl,5
26,A,PoPi,1
27,U,LITT,10
27,U,BARE,90
27,U,BoGr,5
27,U,ZiGr,2
27,A,LITT,80
27,A,BARE,5
27,A,BoGr,20
28,U,LITT,40
28,U,BARE,36
28,U,BoGr,3
28,U,ChLa,20
28,U,ZiGr,3
28,U,AmPs,7
28,A,LITT,50
28,A,BARE,20
28,A,BoGr,2
28,A,SoEl,2
28,A,ChLa,20
28,A,AmPs,2
28,A,GuSa,6
29,U,LITT,80
29,U,BARE,5
29,U,BoGr,30
29,A,LITT,60
29,A,BARE,11
29,A,BoGr,30
30,U,LITT,79
30,U,BARE,10
30,U,BoGr,22
30,U,GuSa,1
30,A,LITT,95
30,A,BARE,2
30,A,BoGr,10
30,A,ChLa,1
31,U,LITT,33
31,U,BARE,10
31,U,BoGr,26
31,U,GuSa,20
31,U,CuFo,2
31,A,LITT,1
31,A,BARE,71
31,A,BoGr,20
32,U,LITT,50
32,U,BoGr,50
32,A,LITT,74
32,A,BoGr,30
33,U,LITT,80
33,U,BARE,10
33,U,BoGr,10
33,U,ZiGr,5
33,U,GuSa,3
33,A,LITT,40
33,A,BARE,10
33,A,BoGr,50
33,A,PoPi,1
34,U,LITT,80
34,U,BARE,5
34,U,BoGr,25
34,U,GuSa,2
34,U,ZiGr,5
34,A,LITT,30
34,A,BARE,2
34,A,BoGr,80
34,A,GuSa,2
34,A,PrGl,2
35,U,LITT,42
35,U,BARE,20
35,U,BoGr,40
35,A,LITT,75
35,A,BARE,5
35,A,BoGr,20
35,A,ArHu,2
35,A,ChLa,1
36,U,LITT,70
36,U,BARE,2
36,U,BoGr,30
36,U,GuSa,1
36,A,LITT,18
36,A,BARE,80
36,A,BoGr,4
37,U,LITT,70
37,U,BARE,30
37,U,BoGr,5
37,U,GuSa,2
37,A,LITT,5
37,A,BARE,90
37,A,RaCo,2
37,A,ZiGr,5
37,A,HeAn,1
37,A,GuSa,1
38,U,LITT,75
38,U,BARE,5
38,U,BoGr,31
38,A,LITT,40
38,A,BARE,60
38,A,BoGr,10
39,U,LITT,10
39,U,BARE,90
39,U,GuSa,5
39,A,LITT,62
39,A,BARE,4
39,A,BoGr,40
10,U,LITT,50
10,U,BARE,40
10,U,BoGr,20
10,U,GuSa,10
10,A,LITT,10
10,A,BARE,3
10,A,BoGr,94